codigo_restricao;descricao
725;Divergência entre despesa/receita de transferências município/estado
726;Divergência entre saldos de exercícios anteriores e do balanço de abertura
727;Saldos não integrados
728;Integração de balancete de meses anteriores
729;Saldos incorretos por erro no processo de integração
730;Saldos de integração provisórios
731;Erro ou insuficiência na descrição do campo observação
732;Outros ingressos - balanço financeiro
733;Outros dispêndios - balanço financeiro
734;Outros ingressos - demonstração das disponibilidades financeiras - tipo 5
735;Outros dispêndios - demonstração das disponibilidades financeiras - tipo 5
736;Falta de registro de conformidade contábil
737;Utilização inadequada de eventos/situação CPR
738;Saldo invertido em contas correntes
739;Despesa realizada no balanço financeiro incompatível com a demonstração das variações patrimoniais
740;Receita realizada no balanço financeiro incompatível com o balanço orçamentário
741;Receita realizada no balanço financeiro incompatível com a demonstração das variações patrimoniais
742;Saldos invertidos - balanço patrimonial
743;Desequilíbrio entre totais do ativo e passivo
744;Desequilíbrio entre as classes
745;Saldos indevidos e/ou remanescentes no balanço financeiro
746;Desequilíbrio entre VPA/VPD na demonstração das variações patrimoniais
747;Demais incoerências - balanço financeiro
748;Demais incoerências - balanço patrimonial
749;Demais incoerências - DVP (demonstração das variações patrimoniais)
750;Demais incoerências - balanço orçamentário
751;Demais incoerências - demonstração das disponibilidades
752;Ativo financeiro (-) passivo financeiro - BP x superávit/déficit da demonstração das disponibilidades por fonte de recursos
753;Saldo invertido - balanço financeiro
754;Saldos alongados ou indevidos - demonstração das disponibilidades
755;Saldos alongados ou indevidos em contas transitórias de receitas - BF
756;Divergência entre limite de RP e disponibilidade de RP
757;Saldo alongado ou indevido em contas transitórias de receitas - DVP
758;Saldo alongado ou indevido em contas transitórias de receitas - BO
759;RP não processados (PF) x retificadora de RP não processados (PNF) - BP
760;Saldo invertido - demonstração da disponibilidade por fonte de recursos
761;Inconsistência nos registros da dívida ativa
762;Inconsistência entre limite vinculado e recursos a liberar
763;Inconsistência entre valores diferidos recebidos e concedidos
764;Saldo alongado ou indevido em contas do passivo compensado
766;Termo de cooperação a liberar - data expirada
767;Termo de cooperação a comprovar - data expirada
768;Falta de identificação de beneficiário em controle auxiliar de moradia
769;Inconsistência entre a inscrição e a execução de RP
770;Código de destinação da receita de DARF
771;Demais incoerências - demonstração dos fluxos de caixa (DFC)
772;Demais incoerências - DDR
773;TED a comprovar com data expirada
774;TED a aprovar com data expirada
775;TED a repassar expirados
776;Falta de reconhecimento de bens imóveis
777;Falta de apropriação de custos diretos no ativo imobilizado
778;Termo de fomento a liberar com vigência expirada
779;Termo de fomento a comprovar com vigência expirada
780;Termo de fomento a aprovar com vigência expirada
781;Erro na classificação da VPD
782;5º nível - distorção de classificação (AC)
783;5º nível - distorção de classificação (ANC)
784;5º nível - distorção de classificação (PC)
785;5º nível - distorção de classificação (PNC)
786;5º nível - distorção de classificação (VPD)
787;5º nível - distorção de classificação (VPA)
